"epic","resolution","ts","open","high","low","close","volume"
"CC.D.CL.UNC.IP","MINUTE","1772684340","7407.5","7416.200000000001","7407","7411.700000000001","1424"
"CC.D.CL.UNC.IP","MINUTE","1772684400","7412","7422.9","7411","7422.799999999999","769"
"CC.D.CL.UNC.IP","MINUTE","1772684460","7422","7433.299999999999","7417.35","7432.9","455"
"CC.D.CL.UNC.IP","MINUTE","1772684520","7432.9","7440.5","7432.4","7436.4","1034"
"CC.D.CL.UNC.IP","MINUTE","1772684580","7436.200000000001","7441.700000000001","7434.8","7435.5","550"
"CC.D.CL.UNC.IP","MINUTE","1772684640","7436.1","7441.799999999999","7435","7439.4","863"
"CC.D.CL.UNC.IP","MINUTE","1772684700","7439.200000000001","7443.200000000001","7435.3","7438","624"
"CC.D.CL.UNC.IP","MINUTE","1772684760","7438","7443.5","7436.55","7440.5","329"
"CC.D.CL.UNC.IP","MINUTE","1772684820","7441.200000000001","7445.950000000001","7439.65","7442.9","868"
"CC.D.CL.UNC.IP","MINUTE","1772684880","7442.9","7460.799999999999","7436.5","7443","2042"
"CC.D.CL.UNC.IP","MINUTE","1772684940","7443.299999999999","7449.75","7437.799999999999","7440.5","932"
"CC.D.CL.UNC.IP","MINUTE","1772685000","7441.6","7453","7436.8","7439.4","715"
"CC.D.CL.UNC.IP","MINUTE","1772685060","7438.799999999999","7453.75","7436.4","7441.5","535"
"CC.D.CL.UNC.IP","MINUTE","1772685120","7441.6","7447.799999999999","7437.25","7446.9","441"
"CC.D.CL.UNC.IP","MINUTE","1772685180","7447.1","7455.7","7444.75","7446.6","339"
"CC.D.CL.UNC.IP","MINUTE","1772685240","7446.5","7450.700000000001","7443","7446.4","634"
"CC.D.CL.UNC.IP","MINUTE","1772685300","7446","7456.5","7444.9","7454.5","332"
"CC.D.CL.UNC.IP","MINUTE","1772685360","7453.9","7459.65","7443.35","7451.9","484"
"CC.D.CL.UNC.IP","MINUTE","1772685420","7451.200000000001","7465.5","7450","7458.9","1079"
"CC.D.CL.UNC.IP","MINUTE","1772685480","7458.5","7464.55","7456.65","7459.9","608"
"CC.D.CL.UNC.IP","MINUTE","1772685540","7459.799999999999","7460.65","7447.200000000001","7450","684"
"CC.D.CL.UNC.IP","MINUTE","1772685600","7450.700000000001","7454.049999999999","7445.299999999999","7447.6","217"
"CC.D.CL.UNC.IP","MINUTE","1772685660","7447.5","7456.799999999999","7444.549999999999","7453.299999999999","364"
"CC.D.CL.UNC.IP","MINUTE","1772685720","7453.200000000001","7454.1","7439.6","7440.700000000001","524"
"CC.D.CL.UNC.IP","MINUTE","1772685780","7441","7445.299999999999","7435.35","7439","1192"
"CC.D.CL.UNC.IP","MINUTE","1772685840","7439.200000000001","7449.700000000001","7438.700000000001","7446","536"
"CC.D.CL.UNC.IP","MINUTE","1772685900","7446.200000000001","7447.200000000001","7436.25","7443.200000000001","784"
"CC.D.CL.UNC.IP","MINUTE","1772685960","7443.4","7444.450000000001","7412.45","7413.6","1385"
"CC.D.CL.UNC.IP","MINUTE","1772686020","7413.5","7420.450000000001","7411.5","7418","629"
"CC.D.CL.UNC.IP","MINUTE","1772686080","7418.799999999999","7428.799999999999","7412","7427.700000000001","461"
"CC.D.CL.UNC.IP","MINUTE","1772686140","7428.799999999999","7446.9","7425.1","7441.200000000001","981"
"CC.D.CL.UNC.IP","MINUTE","1772686200","7441","7445.45","7434.1","7440.9","868"
"CC.D.CL.UNC.IP","MINUTE","1772686260","7440.799999999999","7449.8","7434.8","7446.1","363"
"CC.D.CL.UNC.IP","MINUTE","1772686320","7446.5","7452.6","7441.95","7449.200000000001","351"
"CC.D.CL.UNC.IP","MINUTE","1772686380","7448.5","7454.75","7445.1","7452.4","379"
"CC.D.CL.UNC.IP","MINUTE","1772686440","7452.1","7456.200000000001","7448.75","7452.4","500"
"CC.D.CL.UNC.IP","MINUTE","1772686500","7453.700000000001","7459.6","7450.200000000001","7452.9","494"
"CC.D.CL.UNC.IP","MINUTE","1772686560","7452.9","7457.8","7446.75","7449.200000000001","503"
"CC.D.CL.UNC.IP","MINUTE","1772686620","7449.4","7455","7445.950000000001","7448.9","278"
"CC.D.CL.UNC.IP","MINUTE","1772686680","7449","7457.799999999999","7447.299999999999","7455.5","669"
"CC.D.CL.UNC.IP","MINUTE","1772686740","7456.5","7461.4","7453.950000000001","7458","359"
"CC.D.CL.UNC.IP","MINUTE","1772686800","7458.200000000001","7460.200000000001","7446.200000000001","7450","527"
"CC.D.CL.UNC.IP","MINUTE","1772686860","7446.1","7455.9","7442.25","7453.1","686"
"CC.D.CL.UNC.IP","MINUTE","1772686920","7452.9","7453.700000000001","7449","7451.5","133"
"CC.D.CL.UNC.IP","MINUTE","1772686980","7451.5","7455.299999999999","7448.799999999999","7454.1","251"
"CC.D.CL.UNC.IP","MINUTE","1772687040","7454.299999999999","7458.299999999999","7425.65","7454.4","2413"
"CC.D.CL.UNC.IP","MINUTE","1772687100","7454.6","7455.5","7425.6","7451.700000000001","1113"
"CC.D.CL.UNC.IP","MINUTE","1772687160","7450.9","7457","7435.450000000001","7436.6","633"
"CC.D.CL.UNC.IP","MINUTE","1772687220","7436.4","7444.950000000001","7432.4","7434.9","446"
"CC.D.CL.UNC.IP","MINUTE","1772687280","7435.700000000001","7436.950000000001","7427.700000000001","7434","477"
"CC.D.CL.UNC.IP","MINUTE","1772687340","7433.700000000001","7439.5","7433.55","7435","297"
"CC.D.CL.UNC.IP","MINUTE","1772687400","7434.700000000001","7442.299999999999","7433.4","7439.5","359"
"CC.D.CL.UNC.IP","MINUTE","1772687460","7439.700000000001","7444.799999999999","7437.6","7441.799999999999","396"
"CC.D.CL.UNC.IP","MINUTE","1772687520","7442.700000000001","7443.1","7431.4","7441.700000000001","324"
"CC.D.CL.UNC.IP","MINUTE","1772687580","7441.700000000001","7448.35","7437.799999999999","7448","546"
"CC.D.CL.UNC.IP","MINUTE","1772687640","7447.700000000001","7449.25","7441.299999999999","7444.9","326"
"CC.D.CL.UNC.IP","MINUTE","1772687700","7443.9","7447.4","7438.65","7444.9","232"
"CC.D.CL.UNC.IP","MINUTE","1772687760","7445.1","7448.950000000001","7444.700000000001","7447.9","140"
"CC.D.CL.UNC.IP","MINUTE","1772687820","7447.299999999999","7451.6","7442.9","7448.9","564"
"CC.D.CL.UNC.IP","MINUTE","1772687880","7449.9","7455.1","7446.85","7452","330"
"CC.D.CL.UNC.IP","MINUTE","1772687940","7451.299999999999","7453.85","7434.5","7435.5","461"
"CC.D.CL.UNC.IP","MINUTE","1772688000","7435","7443.75","7427.6","7441.200000000001","680"
